County,Food Bank,Address,Phone,Website
Borden,West Texas Food Bank,"1009 E. 2nd St., Odessa, TX 79760  ",(432) 580-6334,www.wtxfoodbank.org 
Brewster,West Texas Food Bank,"1010 E. 2nd St., Odessa, TX 79760  ",(432) 580-6335,www.wtxfoodbank.org 
Crane,West Texas Food Bank,"1011 E. 2nd St., Odessa, TX 79760  ",(432) 580-6336,www.wtxfoodbank.org 
Dawson,West Texas Food Bank,"1012 E. 2nd St., Odessa, TX 79760  ",(432) 580-6337,www.wtxfoodbank.org 
Ector,West Texas Food Bank,"1013 E. 2nd St., Odessa, TX 79760  ",(432) 580-6338,www.wtxfoodbank.org 
Glasscock,West Texas Food Bank,"1014 E. 2nd St., Odessa, TX 79760  ",(432) 580-6339,www.wtxfoodbank.org 
Howard,West Texas Food Bank,"1015 E. 2nd St., Odessa, TX 79760  ",(432) 580-6340,www.wtxfoodbank.org 
Jeff Davis,West Texas Food Bank,"1016 E. 2nd St., Odessa, TX 79760  ",(432) 580-6341,www.wtxfoodbank.org 
Loving,West Texas Food Bank,"1017 E. 2nd St., Odessa, TX 79760  ",(432) 580-6342,www.wtxfoodbank.org 
Martin,West Texas Food Bank,"1018 E. 2nd St., Odessa, TX 79760  ",(432) 580-6343,www.wtxfoodbank.org 
Midland,West Texas Food Bank,"1019 E. 2nd St., Odessa, TX 79760  ",(432) 580-6344,www.wtxfoodbank.org 
Pecos,West Texas Food Bank,"1020 E. 2nd St., Odessa, TX 79760  ",(432) 580-6345,www.wtxfoodbank.org 
Presidio,West Texas Food Bank,"1021 E. 2nd St., Odessa, TX 79760  ",(432) 580-6346,www.wtxfoodbank.org 
Reeves,West Texas Food Bank,"1022 E. 2nd St., Odessa, TX 79760  ",(432) 580-6347,www.wtxfoodbank.org 
Terrell,West Texas Food Bank,"1023 E. 2nd St., Odessa, TX 79760  ",(432) 580-6348,www.wtxfoodbank.org 
Upton,West Texas Food Bank,"1024 E. 2nd St., Odessa, TX 79760  ",(432) 580-6349,www.wtxfoodbank.org 
Ward,West Texas Food Bank,"1025 E. 2nd St., Odessa, TX 79760  ",(432) 580-6350,www.wtxfoodbank.org 
Winkler,West Texas Food Bank,"1026 E. 2nd St., Odessa, TX 79760  ",(432) 580-6351,www.wtxfoodbank.org 
Archer,Wichita Falls Area Food Bank,"1230 Midwestern Pkwy., Wichita Falls, TX 76307  ",(940) 766-2322  ,www.wfafb.org
Baylor,Wichita Falls Area Food Bank,"1231 Midwestern Pkwy., Wichita Falls, TX 76307  ",(940) 766-2323,www.wfafb.org
Clay,Wichita Falls Area Food Bank,"1232 Midwestern Pkwy., Wichita Falls, TX 76307  ",(940) 766-2324,www.wfafb.org
Foard,Wichita Falls Area Food Bank,"1233 Midwestern Pkwy., Wichita Falls, TX 76307  ",(940) 766-2325,www.wfafb.org
Haskell,Wichita Falls Area Food Bank,"1234 Midwestern Pkwy., Wichita Falls, TX 76307  ",(940) 766-2326,www.wfafb.org
Jack,Wichita Falls Area Food Bank,"1235 Midwestern Pkwy., Wichita Falls, TX 76307  ",(940) 766-2327,www.wfafb.org
Knox,Wichita Falls Area Food Bank,"1236 Midwestern Pkwy., Wichita Falls, TX 76307  ",(940) 766-2328,www.wfafb.org
Montague,Wichita Falls Area Food Bank,"1237 Midwestern Pkwy., Wichita Falls, TX 76307  ",(940) 766-2329,www.wfafb.org
Throckmorton,Wichita Falls Area Food Bank,"1238 Midwestern Pkwy., Wichita Falls, TX 76307  ",(940) 766-2330,www.wfafb.org
Wichita,Wichita Falls Area Food Bank,"1239 Midwestern Pkwy., Wichita Falls, TX 76307  ",(940) 766-2331,www.wfafb.org
Wilbarger,Wichita Falls Area Food Bank,"1240 Midwestern Pkwy., Wichita Falls, TX 76307  ",(940) 766-2332,www.wfafb.org
Young,Wichita Falls Area Food Bank,"1241 Midwestern Pkwy., Wichita Falls, TX 76307  ",(940) 766-2333,www.wfafb.org
